id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Velvet Curtain,Ada Monroe,r&b,romantic,0.55,96,0.78,0.72,0.44
12,Binary Sunset,Glitch Throne,electronic,energetic,0.88,140,0.62,0.85,0.08
13,Hometown Dust,Carter Ridge,country,nostalgic,0.47,104,0.73,0.51,0.83
14,Concrete Jungle,Raw Signal,hip-hop,aggressive,0.87,98,0.35,0.76,0.12
15,Waltz for Nobody,The Still Quartet,classical,melancholic,0.22,68,0.30,0.28,0.97
16,Island Breeze,Sol Caliente,reggae,peaceful,0.50,88,0.82,0.70,0.61
17,Neon Requiem,Pale Circuit,metal,dark,0.95,168,0.25,0.55,0.06
18,Golden Hour,Maple & Vine,folk,warm,0.41,100,0.80,0.48,0.91
